,Fp1,Fp2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Marker
71,-68522.87125860111,-65728.50087028752,-100251.39603035404,-83477.86468003568,-76009.83393309521,-69111.37033836488,-64653.78429338745,-79815.4866475447,-45775.14329852382,-53807.488537727426,-46406.71418985298,-120444.11843348962,-91823.06728638022,-81531.5418281009,-60950.86019645455,-69999.04751766296,0
72,-68522.87125860111,-65728.50087028752,-100251.39603035404,-83477.86468003568,-76009.83393309521,-69111.37033836488,-64653.78429338745,-79815.4866475447,-45775.14329852382,-53807.488537727426,-46406.71418985298,-120444.11843348962,-91823.06728638022,-81531.5418281009,-60950.86019645455,-69999.04751766296,0
73,-68500.3183484457,-65699.42125075117,-100224.68569572995,-83464.85596476268,-75997.29460445579,-69098.1604573918,-64642.451958948615,-79787.79283616458,-45750.712841834174,-53798.100805056194,-46446.165018816595,-119252.01049471028,-91821.56971950171,-81524.36691813075,-60946.65806849695,-69931.20997324109,0
74,-68500.3183484457,-65699.42125075117,-100224.68569572995,-83464.85596476268,-75997.29460445579,-69098.1604573918,-64642.451958948615,-79787.79283616458,-45750.712841834174,-53798.100805056194,-46446.165018816595,-119252.01049471028,-91821.56971950171,-81524.36691813075,-60946.65806849695,-69931.20997324109,0
75,-68500.3183484457,-65699.42125075117,-100224.68569572995,-83464.85596476268,-75997.29460445579,-69098.1604573918,-64642.451958948615,-79787.79283616458,-45750.712841834174,-53798.100805056194,-46446.165018816595,-119252.01049471028,-91821.56971950171,-81524.36691813075,-60946.65806849695,-69931.20997324109,0
76,-68500.3183484457,-65699.42125075117,-100224.68569572995,-83464.85596476268,-75997.29460445579,-69098.1604573918,-64642.451958948615,-79787.79283616458,-45750.712841834174,-53798.100805056194,-46446.165018816595,-119252.01049471028,-91821.56971950171,-81524.36691813075,-60946.65806849695,-69931.20997324109,0
77,-68458.27471712527,-65703.7574891755,-100210.8052624232,-83459.69271179351,-75979.50261586937,-69093.98068117865,-64620.39078717122,-79775.29821101406,-45738.03940272801,-53784.42153744955,-46491.49435657196,-118887.85587404441,-91799.93323086896,-81512.29697612488,-60924.12751008601,-69960.7142759221,0
78,-68458.27471712527,-65703.7574891755,-100210.8052624232,-83459.69271179351,-75979.50261586937,-69093.98068117865,-64620.39078717122,-79775.29821101406,-45738.03940272801,-53784.42153744955,-46491.49435657196,-118887.85587404441,-91799.93323086896,-81512.29697612488,-60924.12751008601,-69960.7142759221,0
79,-68458.27471712527,-65703.7574891755,-100210.8052624232,-83459.69271179351,-75979.50261586937,-69093.98068117865,-64620.39078717122,-79775.29821101406,-45738.03940272801,-53784.42153744955,-46491.49435657196,-118887.85587404441,-91799.93323086896,-81512.29697612488,-60924.12751008601,-69960.7142759221,0
80,-68458.27471712527,-65703.7574891755,-100210.8052624232,-83459.69271179351,-75979.50261586937,-69093.98068117865,-64620.39078717122,-79775.29821101406,-45738.03940272801,-53784.42153744955,-46491.49435657196,-118887.85587404441,-91799.93323086896,-81512.29697612488,-60924.12751008601,-69960.7142759221,0
81,-68458.27471712527,-65703.7574891755,-100210.8052624232,-83459.69271179351,-75979.50261586937,-69093.98068117865,-64620.39078717122,-79775.29821101406,-45738.03940272801,-53784.42153744955,-46491.49435657196,-118887.85587404441,-91799.93323086896,-81512.29697612488,-60924.12751008601,-69960.7142759221,0
82,-68554.34251479417,-65693.09570707032,-100201.81986115217,-83459.33508388222,-75951.54058355578,-69091.4102305663,-64601.749432295495,-79762.24479225217,-45719.733324019115,-53769.22235121994,-46587.74096819651,-118080.30969861863,-91790.3666842421,-81505.7926184884,-60913.756300658744,-69962.52476722297,0
83,-68554.34251479417,-65693.09570707032,-100201.81986115217,-83459.33508388222,-75951.54058355578,-69091.4102305663,-64601.749432295495,-79762.24479225217,-45719.733324019115,-53769.22235121994,-46587.74096819651,-118080.30969861863,-91790.3666842421,-81505.7926184884,-60913.756300658744,-69962.52476722297,0
84,-68554.34251479417,-65693.09570707032,-100201.81986115217,-83459.33508388222,-75951.54058355578,-69091.4102305663,-64601.749432295495,-79762.24479225217,-45719.733324019115,-53769.22235121994,-46587.74096819651,-118080.30969861863,-91790.3666842421,-81505.7926184884,-60913.756300658744,-69962.52476722297,0
85,-68554.34251479417,-65693.09570707032,-100201.81986115217,-83459.33508388222,-75951.54058355578,-69091.4102305663,-64601.749432295495,-79762.24479225217,-45719.733324019115,-53769.22235121994,-46587.74096819651,-118080.30969861863,-91790.3666842421,-81505.7926184884,-60913.756300658744,-69962.52476722297,0
86,-68560.71276196394,-65633.99769473048,-100156.15524722997,-83438.45855456097,-75921.49983900784,-69064.87870989785,-64566.70189698957,-79728.38189940237,-45667.38553850479,-53771.43517392101,-46607.96929692856,-117025.4191190504,-91765.93622755245,-81496.02490616142,-60889.32584396909,-69914.2002957106,0
87,-68560.71276196394,-65633.99769473048,-100156.15524722997,-83438.45855456097,-75921.49983900784,-69064.87870989785,-64566.70189698957,-79728.38189940237,-45667.38553850479,-53771.43517392101,-46607.96929692856,-117025.4191190504,-91765.93622755245,-81496.02490616142,-60889.32584396909,-69914.2002957106,0
88,-68560.71276196394,-65633.99769473048,-100156.15524722997,-83438.45855456097,-75921.49983900784,-69064.87870989785,-64566.70189698957,-79728.38189940237,-45667.38553850479,-53771.43517392101,-46607.96929692856,-117025.4191190504,-91765.93622755245,-81496.02490616142,-60889.32584396909,-69914.2002957106,0
